,genes
395,Fam46a
396,Rerg
397,Csgalnact1
398,Vstm2l
399,Rgs16
400,G630016G05Rik
401,Sdk2
402,Tekt5
403,Lmo3
404,2900055J20Rik
405,Trhde
406,Fgf1
407,Krt12
408,Blnk
409,Sstr1
410,Cap2
411,Vip
412,2900092D14Rik
413,Myh3
414,Stmn2
415,Ajap1
416,Slc18a3
417,Vwc2l
418,Plxdc1
419,Tmem196
420,Rgs6
421,Kcnt2
422,Oprm1
423,Kcnab1
424,Hrk
425,Tpd52l1
426,Olfm3
427,Cpne5
428,Lin7a
429,Myh7
430,Cidea
431,Lman1l
432,Enpp2
433,Trp53i11
434,Ephb6
435,Pcdh18
436,6330403A02Rik
437,Sptbn5
438,Rasl11a
439,Kif5c
440,Stac2
441,Pld5
442,Grasp
443,Krt1
444,Myh8
445,Slit2
446,9430021M05Rik
447,Ildr2
448,Pbx1
449,Kcnh3
450,Sostdc1
451,Rspo3
452,Ifit2
453,Chrm2
454,Adamtsl5
455,Kcnq5
456,Trpc6
457,Whrn
458,Lppr1
459,Ephb1
460,Cux2
461,Dgkb
462,Tuba8
463,Arap2
464,Sox1
465,Hpcal1
466,Rxfp3
467,Necab2
468,5930412G12Rik
469,Kcnmb4
470,Tpbg
471,Synj2
472,Gpr83
473,Pou3f3
474,Fgf11
475,Qpct
476,Frem1
477,Grm7
478,Grm1
479,Kcnmb4os2
480,Tacstd2
481,Npnt
482,Etl4
483,Ptpro
484,Otof
485,Ptchd4
486,Pvrl3
487,Cd24a
488,Tnnt1
489,Fam84b
490,Igfbp5
491,Cdh18
492,Nxph2
493,Lingo2
494,Lix1
495,Nrtn
496,Neto2
497,Il1rap
498,Ntng1
499,Man1c1
500,Edil3
501,Dner
502,1190002N15Rik
503,Mmp17
504,Dok5
505,Lrrc38
506,Lphn2
507,Zfpm2
508,Exph5
509,LOC105243542
510,Egr4
511,Hrh1
512,Slc27a2
513,Cnih3
514,Bcl6
515,Crispld2
516,Nog
517,B3gat2
518,C130074G19Rik
519,Ndst3
520,Tunar
521,Ntn5
522,1700019L22Rik
523,Ryr3
524,March1
525,Nppc
526,Kcnip2
527,Tcrb
528,Brinp2
529,Adcyap1r1
530,Tmem132d
531,Aqp5
532,Mxra7
533,Ptgs1
534,Neurl1b
535,Dynll2
536,Tcerg1l
537,Hs3st1
538,Gprc5b
539,Khdrbs2
540,Clstn2
541,St8sia4
542,Gabra5
543,Cdh7
544,E530001K10Rik
545,Zbtb18
