,x,y,cex,col,members,midpoint,height,leaf,label,parent
41,18.0,0.0,0.5,#9A61AE,1,,0.0,True,Sncg_5,n23
42,19.75,0.2414,,,3,0.75,0.2414,False,n24,n19
43,19.0,0.0,0.5,#876297,1,,0.0,True,Vip_14,n24
44,20.5,0.1957,,,2,0.5,0.1957,False,n25,n24
45,20.0,0.0,0.5,#805C90,1,,0.0,True,Vip_15,n25
46,21.0,0.0,0.5,#795689,1,,0.0,True,Vip_16,n25
47,27.28125,0.3043,,,13,5.2812,0.3043,False,n26,n18
48,23.5,0.2275,,,4,1.5,0.2275,False,n27,n26
49,22.5,0.1688,,,2,0.5,0.1688,False,n28,n27
50,22.0,0.0,0.5,#CC9EE1,1,,0.0,True,Vip_4,n28
51,23.0,0.0,0.5,#C598D9,1,,0.0,True,Vip_5,n28
52,24.5,0.1141,,,2,0.5,0.1141,False,n29,n27
53,24.0,0.0,0.5,#BE92D2,1,,0.0,True,Vip_6,n29
54,25.0,0.0,0.5,#A980BC,1,,0.0,True,Vip_9,n29
55,31.0625,0.293,,,9,5.0625,0.293,False,n30,n26
56,28.625,0.2592,,,7,2.625,0.2592,False,n31,n30
57,26.75,0.1793,,,3,0.75,0.1793,False,n32,n31
58,26.0,0.0,0.5,#DAAAEF,1,,0.0,True,Vip_2,n32
59,27.5,0.0866,,,2,0.5,0.0866,False,n33,n32
60,27.0,0.0,0.5,#9B74AD,1,,0.0,True,Vip_11,n33
61,28.0,0.0,0.5,#8E689F,1,,0.0,True,Vip_13,n33
62,30.5,0.1589,,,4,1.5,0.1589,False,n34,n31
63,29.5,0.1372,,,2,0.5,0.1372,False,n35,n34
64,29.0,0.0,0.5,#E1B0F7,1,,0.0,True,Vip_1,n35
65,30.0,0.0,0.5,#946EA6,1,,0.0,True,Vip_12,n35
66,31.5,0.1236,,,2,0.5,0.1236,False,n36,n34
67,31.0,0.0,0.5,#6B4A7A,1,,0.0,True,Vip_18,n36
68,32.0,0.0,0.5,#644473,1,,0.0,True,Vip_19,n36
69,33.5,0.2501,,,2,0.5,0.2501,False,n37,n30
70,33.0,0.0,0.5,#563864,1,,0.0,True,Vip_21,n37
71,34.0,0.0,0.5,#492C56,1,,0.0,True,Vip_23,n37
72,43.63232421875,0.4446,,,33,8.6323,0.4446,False,n38,n4
73,35.0,0.0,0.5,#C9C958,1,,0.0,True,Sst Chodl_1,n38
74,52.2646484375,0.3865,,,32,16.2646,0.3865,False,n39,n38
75,42.8984375,0.3491,,,16,6.8984,0.3491,False,n40,n39
76,38.109375,0.2892,,,10,2.1094,0.2892,False,n41,n40
77,36.0,0.0,0.5,#FFB84F,1,,0.0,True,Sst_1,n41
78,40.21875,0.2624,,,9,3.2188,0.2624,False,n42,n41
79,38.25,0.1755,,,3,1.25,0.1755,False,n43,n42
80,37.5,0.1224,,,2,0.5,0.1224,False,n44,n43
81,37.0,0.0,0.5,#ECA846,1,,0.0,True,Sst_4,n44
82,38.0,0.0,0.5,#E6A343,1,,0.0,True,Sst_5,n44
83,39.0,0.0,0.5,#D9993D,1,,0.0,True,Sst_7,n43
84,42.1875,0.2401,,,6,2.1875,0.2401,False,n45,n42
85,40.5,0.1854,,,2,0.5,0.1854,False,n46,n45
86,40.0,0.0,0.5,#F2AD49,1,,0.0,True,Sst_3,n46
87,41.0,0.0,0.5,#8E5B19,1,,0.0,True,Sst_19,n46
88,43.875,0.2053,,,4,1.875,0.2053,False,n47,n45
89,42.75,0.1794,,,3,0.75,0.1794,False,n48,n47
90,42.0,0.0,0.5,#CD8F37,1,,0.0,True,Sst_9,n48
91,43.5,0.138,,,2,0.5,0.138,False,n49,n48
92,43.0,0.0,0.5,#C68934,1,,0.0,True,Sst_10,n49
93,44.0,0.0,0.5,#B47A2B,1,,0.0,True,Sst_13,n49
94,45.0,0.0,0.5,#BA7F2E,1,,0.0,True,Sst_12,n47
95,47.6875,0.2557,,,6,1.6875,0.2557,False,n50,n40
96,46.0,0.0,0.5,#7D7D08,1,,0.0,True,Sst Chodl_2,n50
97,49.375,0.2063,,,5,2.375,0.2063,False,n51,n50
98,48.25,0.16,,,3,1.25,0.16,False,n52,n51
99,47.5,0.1335,,,2,0.5,0.1335,False,n53,n52
100,47.0,0.0,0.5,#C08430,1,,0.0,True,Sst_11,n53
101,48.0,0.0,0.5,#885616,1,,0.0,True,Sst_20,n53
102,49.0,0.0,0.5,#7B4C10,1,,0.0,True,Sst_22,n52
103,50.5,0.1823,,,2,0.5,0.1823,False,n54,n51
104,50.0,0.0,0.5,#75470C,1,,0.0,True,Sst_23,n54
105,51.0,0.0,0.5,#693D07,1,,0.0,True,Sst_25,n54
106,61.630859375,0.3605,,,16,9.6309,0.3605,False,n55,n39
107,56.76171875,0.2755,,,14,4.7617,0.2755,False,n56,n55
108,54.125,0.2074,,,4,2.125,0.2074,False,n57,n56
109,53.25,0.1876,,,3,1.25,0.1876,False,n58,n57
110,52.5,0.1504,,,2,0.5,0.1504,False,n59,n58
111,52.0,0.0,0.5,#F8B24C,1,,0.0,True,Sst_2,n59
112,53.0,0.0,0.5,#BE5860,1,,0.0,True,Pvalb_6,n59
113,54.0,0.0,0.5,#C96068,1,,0.0,True,Pvalb_5,n58
114,55.0,0.0,0.5,#A64A52,1,,0.0,True,Pvalb_8,n57
115,59.3984375,0.2614,,,10,3.3984,0.2614,False,n60,n56
116,56.0,0.0,0.5,#B25159,1,,0.0,True,Pvalb_7,n60
117,62.796875,0.2306,,,9,5.7969,0.2306,False,n61,n60
118,60.59375,0.18,,,8,3.5938,0.18,False,n62,n61
119,58.4375,0.1557,,,5,1.4375,0.1557,False,n63,n62
120,57.0,0.0,0.5,#F97D86,1,,0.0,True,Pvalb_1,n63
121,59.875,0.1248,,,4,1.875,0.1248,False,n64,n63
122,58.75,0.1078,,,3,0.75,0.1078,False,n65,n64
123,58.0,0.0,0.5,#E16E77,1,,0.0,True,Pvalb_3,n65
124,59.5,0.0813,,,2,0.5,0.0813,False,n66,n65
125,59.0,0.0,0.5,#ED757E,1,,0.0,True,Pvalb_2,n66
126,60.0,0.0,0.5,#54181E,1,,0.0,True,Pvalb_15,n66
127,61.0,0.0,0.5,#5F1F25,1,,0.0,True,Pvalb_14,n64
128,62.75,0.1244,,,3,0.75,0.1244,False,n67,n62
129,62.0,0.0,0.5,#772D34,1,,0.0,True,Pvalb_12,n67
130,63.5,0.1107,,,2,0.5,0.1107,False,n68,n67
131,63.0,0.0,0.5,#8E3C43,1,,0.0,True,Pvalb_10,n68
132,64.0,0.0,0.5,#6B262C,1,,0.0,True,Pvalb_13,n68
133,65.0,0.0,0.5,#9A434A,1,,0.0,True,Pvalb_9,n61
134,66.5,0.1107,,,2,0.5,0.1107,False,n69,n55
135,66.0,0.0,0.5,#F87CC3,1,,0.0,True,Chandelier_1,n69
136,67.0,0.0,0.5,#AD2D76,1,,0.0,True,Chandelier_2,n69
137,102.23583984375,0.4447,,,42,34.2358,0.4447,False,n70,n3
138,96.4091796875,0.4167,,,37,28.4092,0.4167,False,n71,n70
139,90.068359375,0.3776,,,34,22.0684,0.3776,False,n72,n71
140,83.98046875,0.3479,,,24,15.9805,0.3479,False,n73,n72
141,77.4609375,0.316,,,22,9.4609,0.316,False,n74,n73
142,71.640625,0.2531,,,11,3.6406,0.2531,False,n75,n74
143,68.5,0.1801,,,2,0.5,0.1801,False,n76,n75
144,68.0,0.0,0.5,#EEF987,1,,0.0,True,L2/3 IT_1,n76
145,69.0,0.0,0.5,#E1EC7F,1,,0.0,True,L2/3 IT_2,n76
146,74.78125,0.2154,,,9,4.7812,0.2154,False,n77,n75
147,72.0625,0.1567,,,7,2.0625,0.1567,False,n78,n77
148,70.5,0.0986,,,2,0.5,0.0986,False,n79,n78
149,70.0,0.0,0.5,#ADBC63,1,,0.0,True,L2/3 IT_6,n79
150,71.0,0.0,0.5,#A0B05C,1,,0.0,True,L2/3 IT_7,n79
151,73.625,0.1221,,,5,1.625,0.1221,False,n80,n78
152,72.5,0.1094,,,2,0.5,0.1094,False,n81,n80
153,72.0,0.0,0.5,#BAC86A,1,,0.0,True,L2/3 IT_5,n81
154,73.0,0.0,0.5,#536831,1,,0.0,True,L2/3 IT_13,n81
155,74.75,0.0741,,,3,0.75,0.0741,False,n82,n80
156,74.0,0.0,0.5,#798C46,1,,0.0,True,L2/3 IT_10,n82
157,75.5,0.0712,,,2,0.5,0.0712,False,n83,n82
158,75.0,0.0,0.5,#93A454,1,,0.0,True,L2/3 IT_8,n83
159,76.0,0.0,0.5,#5F7438,1,,0.0,True,L2/3 IT_12,n83
160,77.5,0.1214,,,2,0.5,0.1214,False,n84,n77
161,77.0,0.0,0.5,#BEB867,1,,0.0,True,L6 IT_1,n84
162,78.0,0.0,0.5,#716C18,1,,0.0,True,L6 IT_2,n84
163,83.28125,0.2852,,,11,4.2812,0.2852,False,n85,n74
164,81.125,0.2727,,,5,2.125,0.2727,False,n86,n85
165,79.75,0.2325,,,3,0.75,0.2325,False,n87,n86
166,79.0,0.0,0.5,#72C3C7,1,,0.0,True,L4 IT_2,n87
167,80.5,0.1768,,,2,0.5,0.1768,False,n88,n87
168,80.0,0.0,0.5,#579697,1,,0.0,True,L4 IT_3,n88
169,81.0,0.0,0.5,#3C6868,1,,0.0,True,L4 IT_4,n88
170,82.5,0.1439,,,2,0.5,0.1439,False,n89,n86
171,82.0,0.0,0.5,#B0DFE2,1,,0.0,True,L5 IT_1,n89
172,83.0,0.0,0.5,#82ADAD,1,,0.0,True,L5 IT_3,n89
173,85.4375,0.253,,,6,1.4375,0.253,False,n90,n85
174,84.0,0.0,0.5,#D4E078,1,,0.0,True,L2/3 IT_3,n90
175,86.875,0.2041,,,5,1.875,0.2041,False,n91,n90
176,85.5,0.1439,,,2,0.5,0.1439,False,n92,n91
177,85.0,0.0,0.5,#8DF2F7,1,,0.0,True,L4 IT_1,n92
178,86.0,0.0,0.5,#99C6C7,1,,0.0,True,L5 IT_2,n92
179,88.25,0.0941,,,3,1.25,0.0941,False,n93,n91
180,87.5,0.0455,,,2,0.5,0.0455,False,n94,n93
181,87.0,0.0,0.5,#547B79,1,,0.0,True,L5 IT_5,n94
182,88.0,0.0,0.5,#3D625F,1,,0.0,True,L5 IT_6,n94
183,89.0,0.0,0.5,#264945,1,,0.0,True,L5 IT_7,n93
184,90.5,0.1641,,,2,0.5,0.1641,False,n95,n73
185,90.0,0.0,0.5,#67A8B2,1,,0.0,True,L5 ET_1,n95
186,91.0,0.0,0.5,#0D5B78,1,,0.0,True,L5 ET_2,n95
187,96.15625,0.2732,,,10,4.1562,0.2732,False,n96,n72
188,94.125,0.1367,,,4,2.125,0.1367,False,n97,n96
189,93.25,0.1147,,,3,1.25,0.1147,False,n98,n97
190,92.5,0.074,,,2,0.5,0.074,False,n99,n98
191,92.0,0.0,0.5,#81CDE7,1,,0.0,True,L6 CT_1,n99
192,93.0,0.0,0.5,#5FA3BC,1,,0.0,True,L6 CT_2,n99
193,94.0,0.0,0.5,#3D7A91,1,,0.0,True,L6 CT_3,n98
194,95.0,0.0,0.5,#1B5166,1,,0.0,True,L6 CT_4,n97
195,98.1875,0.2175,,,6,2.1875,0.2175,False,n100,n96
196,96.5,0.1635,,,2,0.5,0.1635,False,n101,n100
197,96.0,0.0,0.5,#C7AFD4,1,,0.0,True,L6b_1,n101
198,97.0,0.0,0.5,#AA93BB,1,,0.0,True,L6b_2,n101
199,99.875,0.189,,,4,1.875,0.189,False,n102,n100
200,98.75,0.123,,,3,0.75,0.123,False,n103,n102
201,98.0,0.0,0.5,#8E77A3,1,,0.0,True,L6b_3,n103
202,99.5,0.1009,,,2,0.5,0.1009,False,n104,n103
203,99.0,0.0,0.5,#715B8B,1,,0.0,True,L6b_4,n104
204,100.0,0.0,0.5,#553F73,1,,0.0,True,L6b_5,n104
205,101.0,0.0,0.5,#39245B,1,,0.0,True,L6b_6,n102
206,102.75,0.1375,,,3,0.75,0.1375,False,n105,n71
207,102.0,0.0,0.5,#874FFF,1,,0.0,True,L6 IT Car3_1,n105
208,103.5,0.1291,,,2,0.5,0.1291,False,n106,n105
209,103.0,0.0,0.5,#631AFF,1,,0.0,True,L6 IT Car3_2,n106
210,104.0,0.0,0.5,#23068C,1,,0.0,True,L6 IT Car3_3,n106
211,108.0625,0.159,,,5,3.0625,0.159,False,n107,n70
212,107.125,0.1264,,,4,2.125,0.1264,False,n108,n107
213,106.25,0.1107,,,3,1.25,0.1107,False,n109,n108
214,105.5,0.0875,,,2,0.5,0.0875,False,n110,n109
215,105.0,0.0,0.5,#9FD4AE,1,,0.0,True,L5/6 NP_1,n110
216,106.0,0.0,0.5,#86BA96,1,,0.0,True,L5/6 NP_2,n110
217,107.0,0.0,0.5,#6DA17E,1,,0.0,True,L5/6 NP_3,n109
218,108.0,0.0,0.5,#225637,1,,0.0,True,L5/6 NP_6,n108
219,109.0,0.0,0.5,#538866,1,,0.0,True,L5/6 NP_4,n107
220,116.53125,0.7813,,,11,6.5312,0.7813,False,n111,n2
221,113.9375,0.6824,,,7,3.9375,0.6824,False,n112,n111
222,112.375,0.2154,,,5,2.375,0.2154,False,n113,n112
223,111.25,0.1892,,,3,1.25,0.1892,False,n114,n113
224,110.5,0.0972,,,2,0.5,0.0972,False,n115,n114
225,110.0,0.0,0.5,#D1C9BA,1,,0.0,True,Astro_1,n115
226,111.0,0.0,0.5,#AAA395,1,,0.0,True,Astro_2,n115
227,112.0,0.0,0.5,#847D71,1,,0.0,True,Astro_3,n114
228,113.5,0.1408,,,2,0.5,0.1408,False,n116,n113
229,113.0,0.0,0.5,#5E574C,1,,0.0,True,Astro_4,n116
230,114.0,0.0,0.5,#383228,1,,0.0,True,Astro_5,n116
231,115.5,0.3243,,,2,0.5,0.3243,False,n117,n112
232,115.0,0.0,0.5,#75827F,1,,0.0,True,OPC_1,n117
233,116.0,0.0,0.5,#263430,1,,0.0,True,OPC_2,n117
234,119.125,0.1617,,,4,2.125,0.1617,False,n118,n111
235,118.25,0.1172,,,3,1.25,0.1172,False,n119,n118
236,117.5,0.0903,,,2,0.5,0.0903,False,n120,n119
237,117.0,0.0,0.5,#B2CEC5,1,,0.0,True,Oligo_1,n120
238,118.0,0.0,0.5,#799B8E,1,,0.0,True,Oligo_2,n120
239,119.0,0.0,0.5,#32443D,1,,0.0,True,Oligo_4,n119
240,120.0,0.0,0.5,#4A6B61,1,,0.0,True,Oligo_3,n118
241,124.8125,0.8328,,,7,3.8125,0.8328,False,n121,n1
242,123.125,0.685,,,5,2.125,0.685,False,n122,n121
243,121.75,0.3499,,,3,0.75,0.3499,False,n123,n122
244,121.0,0.0,0.5,#D8BFB8,1,,0.0,True,Endo_1,n123
245,122.5,0.2778,,,2,0.5,0.2778,False,n124,n123
246,122.0,0.0,0.5,#B09A93,1,,0.0,True,Endo_2,n124
247,123.0,0.0,0.5,#6D615E,1,,0.0,True,Endo_3,n124
248,124.5,0.53,,,2,0.5,0.53,False,n125,n122
249,124.0,0.0,0.5,#979E8A,1,,0.0,True,VLMC_1,n125
250,125.0,0.0,0.5,#4A503C,1,,0.0,True,VLMC_2,n125
251,126.5,0.4735,,,2,0.5,0.4735,False,n126,n121
252,126.0,0.0,0.5,#CFE2D0,1,,0.0,True,Micro-PVM_1,n126
253,127.0,0.0,0.5,#94AF97,1,,0.0,True,Micro-PVM_2,n126
