,x,y,cex,col,members,midpoint,height,leaf,label,parent
1,107.67422485351562,0.8983,,,127,106.6742,0.8983,False,n1,
2,90.53594970703125,0.8326,,,120,89.5359,0.8326,False,n2,n1
3,64.5406494140625,0.5863,,,109,63.5406,0.5863,False,n3,n2
4,26.845458984375,0.4905,,,67,25.8455,0.4905,False,n4,n3
5,10.05859375,0.4129,,,34,9.0586,0.4129,False,n5,n4
6,3.8125,0.2737,,,7,2.8125,0.2737,False,n6,n5
7,1.875,0.2049,,,4,0.875,0.2049,False,n7,n6
8,1.0,0.0,0.5,#B49186,1,,0.0,True,Lamp5_Lhx6_1,n7
9,2.75,0.1339,,,3,0.75,0.1339,False,n8,n7
10,2.0,0.0,0.5,#F9B7C3,1,,0.0,True,Lamp5_1,n8
11,3.5,0.0582,,,2,0.5,0.0582,False,n9,n8
12,3.0,0.0,0.5,#DA9EA8,1,,0.0,True,Lamp5_2,n9
13,4.0,0.0,0.5,#BB848E,1,,0.0,True,Lamp5_3,n9
14,5.75,0.1583,,,3,0.75,0.1583,False,n10,n6
15,5.0,0.0,0.5,#9D6B74,1,,0.0,True,Lamp5_4,n10
16,6.5,0.0931,,,2,0.5,0.0931,False,n11,n10
17,6.0,0.0,0.5,#7E525A,1,,0.0,True,Lamp5_5,n11
18,7.0,0.0,0.5,#603A40,1,,0.0,True,Lamp5_6,n11
19,16.3046875,0.3692,,,27,8.3047,0.3692,False,n12,n5
20,10.0,0.2972,,,6,2.0,0.2972,False,n13,n12
21,8.5,0.2019,,,2,0.5,0.2019,False,n14,n13
22,8.0,0.0,0.5,#D38FEF,1,,0.0,True,Pax6_1,n14
23,9.0,0.0,0.5,#9E65B5,1,,0.0,True,Pax6_2,n14
24,11.5,0.2432,,,4,1.5,0.2432,False,n15,n13
25,10.5,0.1257,,,2,0.5,0.1257,False,n16,n15
26,10.0,0.0,0.5,#693B7B,1,,0.0,True,Pax6_3,n16
27,11.0,0.0,0.5,#341142,1,,0.0,True,Pax6_4,n16
28,12.5,0.208,,,2,0.5,0.208,False,n17,n15
29,12.0,0.0,0.5,#C17ED6,1,,0.0,True,Sncg_3,n17
30,13.0,0.0,0.5,#86539A,1,,0.0,True,Sncg_6,n17
31,22.609375,0.3539,,,21,8.6094,0.3539,False,n18,n12
32,17.9375,0.2984,,,8,3.9375,0.2984,False,n19,n18
33,16.125,0.1899,,,5,2.125,0.1899,False,n20,n19
34,14.75,0.1144,,,3,0.75,0.1144,False,n21,n20
35,14.0,0.0,0.5,#D58DEA,1,,0.0,True,Sncg_2,n21
36,15.5,0.1022,,,2,0.5,0.1022,False,n22,n21
37,15.0,0.0,0.5,#E99CFF,1,,0.0,True,Sncg_1,n22
38,16.0,0.0,0.5,#5F3672,1,,0.0,True,Sncg_8,n22
39,17.5,0.1112,,,2,0.5,0.1112,False,n23,n20
40,17.0,0.0,0.5,#AD70C2,1,,0.0,True,Sncg_4,n23
