,x,y,cex,col,members,midpoint,height,leaf,label,parent
1,307.1258427500725,0.8431,,,379,306.1258,0.8431,False,n1,
2,239.37668550014496,0.6222,,,368,238.3767,0.6222,False,n2,n1
3,118.95649600028992,0.3665,,,355,117.9565,0.3665,False,n3,n2
4,1.0,0.0,0.5,#00FF66,1,,0.0,True,1_CR,n3
5,236.91299200057983,0.3221,,,354,234.913,0.3221,False,n4,n3
6,118.82598400115967,0.2399,,,353,116.826,0.2399,False,n5,n4
7,29.990966796875,0.1796,,,118,27.991,0.1796,False,n6,n5
8,2.0,0.0,0.5,#C60C0F,1,,0.0,True,2_Meis2,n6
9,57.98193359375,0.173,,,117,54.9819,0.173,False,n7,n6
10,34.51171875,0.1348,,,57,31.5117,0.1348,False,n8,n7
11,18.37109375,0.1263,,,39,15.3711,0.1263,False,n9,n8
12,9.109375,0.1081,,,17,6.1094,0.1081,False,n10,n9
13,4.125,0.0351,,,4,1.125,0.0351,False,n11,n10
14,3.0,0.0,0.5,#935F50,1,,0.0,True,3_Lamp5 Lhx6,n11
15,5.25,0.022,,,3,1.25,0.022,False,n12,n11
16,4.5,0.0133,,,2,0.5,0.0133,False,n13,n12
17,4.0,0.0,0.5,#CC7F64,1,,0.0,True,4_Lamp5 Lhx6,n13
18,5.0,0.0,0.5,#A66A57,1,,0.0,True,5_Lamp5 Lhx6,n13
19,6.0,0.0,0.5,#EC8E6E,1,,0.0,True,6_Lamp5 Lhx6,n12
20,14.09375,0.0864,,,13,7.0938,0.0864,False,n14,n10
21,10.4375,0.0792,,,10,3.4375,0.0792,False,n15,n14
22,7.875,0.0329,,,4,0.875,0.0329,False,n16,n15
23,7.0,0.0,0.5,#8C5962,1,,0.0,True,7_Lamp5,n16
24,8.75,0.012,,,3,0.75,0.012,False,n17,n16
25,8.0,0.0,0.5,#D97C91,1,,0.0,True,8_Lamp5,n17
26,9.5,0.0087,,,2,0.5,0.0087,False,n18,n17
27,9.0,0.0,0.5,#996068,1,,0.0,True,9_Lamp5,n18
28,10.0,0.0,0.5,#E6808B,1,,0.0,True,10_Lamp5,n18
29,13.0,0.0337,,,6,2.0,0.0337,False,n19,n15
30,11.5,0.0159,,,2,0.5,0.0159,False,n20,n19
31,11.0,0.0,0.5,#A6666F,1,,0.0,True,11_Lamp5,n20
32,12.0,0.0,0.5,#F2859E,1,,0.0,True,12_Lamp5,n20
33,14.5,0.0189,,,4,1.5,0.0189,False,n21,n19
34,13.5,0.0108,,,2,0.5,0.0108,False,n22,n21
35,13.0,0.0,0.5,#B36C76,1,,0.0,True,13_Lamp5,n22
36,14.0,0.0,0.5,#FF8995,1,,0.0,True,14_Lamp5,n22
37,15.5,0.0117,,,2,0.5,0.0117,False,n23,n21
38,15.0,0.0,0.5,#BF7185,1,,0.0,True,15_Lamp5,n23
39,16.0,0.0,0.5,#D97C80,1,,0.0,True,16_Lamp5,n23
40,17.75,0.0262,,,3,0.75,0.0262,False,n24,n14
41,17.0,0.0,0.5,#8C603F,1,,0.0,True,17_Pax6,n24
42,18.5,0.0109,,,2,0.5,0.0109,False,n25,n24
43,18.0,0.0,0.5,#B9814D,1,,0.0,True,18_Pax6,n25
44,19.0,0.0,0.5,#AD6C49,1,,0.0,True,19_Pax6,n25
45,27.6328125,0.1061,,,22,7.6328,0.1061,False,n26,n9
46,22.4375,0.0698,,,5,2.4375,0.0698,False,n27,n26
47,20.875,0.0539,,,4,0.875,0.0539,False,n28,n27
48,20.0,0.0,0.5,#8C3262,1,,0.0,True,20_Ndnf HPF,n28
49,21.75,0.0434,,,3,0.75,0.0434,False,n29,n28
50,21.0,0.0,0.5,#E5408B,1,,0.0,True,21_Ndnf HPF,n29
51,22.5,0.0162,,,2,0.5,0.0162,False,n30,n29
52,22.0,0.0,0.5,#A63771,1,,0.0,True,22_Ndnf HPF,n30
53,23.0,0.0,0.5,#F641A8,1,,0.0,True,23_Ndnf HPF,n30
54,24.0,0.0,0.5,#BF3B81,1,,0.0,True,24_Ndnf HPF,n27
55,32.828125,0.0981,,,17,7.8281,0.0981,False,n31,n26
56,28.5625,0.0666,,,7,3.5625,0.0666,False,n32,n31
57,26.875,0.043,,,4,1.875,0.043,False,n33,n32
58,25.75,0.0289,,,3,0.75,0.0289,False,n34,n33
59,25.0,0.0,0.5,#71238C,1,,0.0,True,25_Sncg,n34
60,26.5,0.0143,,,2,0.5,0.0143,False,n35,n34
61,26.0,0.0,0.5,#CD26FF,1,,0.0,True,26_Sncg,n35
62,27.0,0.0,0.5,#832599,1,,0.0,True,27_Sncg,n35
63,28.0,0.0,0.5,#C528E6,1,,0.0,True,28_Sncg,n33
64,30.25,0.0372,,,3,1.25,0.0372,False,n36,n32
65,29.5,0.0163,,,2,0.5,0.0163,False,n37,n36
66,29.0,0.0,0.5,#9727B3,1,,0.0,True,29_Sncg,n37
67,30.0,0.0,0.5,#AF27BF,1,,0.0,True,30_Sncg,n37
68,31.0,0.0,0.5,#9C28CC,1,,0.0,True,31_Sncg,n36
69,37.09375,0.0778,,,10,5.0938,0.0778,False,n38,n31
70,34.4375,0.05,,,7,2.4375,0.05,False,n39,n38
71,32.5,0.0259,,,2,0.5,0.0259,False,n40,n39
72,32.0,0.0,0.5,#DC27F2,1,,0.0,True,32_Sncg,n40
73,33.0,0.0,0.5,#AE28E6,1,,0.0,True,33_Sncg,n40
74,36.375,0.0444,,,5,2.375,0.0444,False,n41,n39
